Index,Station_ID,Station_Name_Caps,Station_Codes,Latitude,Longitude,Train_Type,Station_Name,Full_Station_Name
117,137,KING ALBERT PARK MRT STATION,DT6,1.335665120759766,103.7838066588735,MRT,King Albert Park,King Albert Park MRT Station
118,138,MATTAR MRT STATION,DT25,1.326876714712614,103.8832475091800,MRT,Mattar,Mattar MRT Station
119,139,UBI MRT STATION,DT27,1.329956825703842,103.8992525249772,MRT,Ubi,Ubi MRT Station
120,140,BEAUTY WORLD MRT STATION,DT5,1.341223175711350,103.7757942852948,MRT,Beauty World,Beauty World MRT Station
121,141,KAKI BUKIT MRT STATION,DT28,1.334967301564287,103.9084597344644,MRT,Kaki Bukit,Kaki Bukit MRT Station
122,143,BEDOK NORTH MRT STATION,DT29,1.334742116758399,103.9179783297734,MRT,Bedok North,Bedok North MRT Station
123,144,DHOBY GHAUT MRT STATION,NS24/NE6/CC1,1.298701306629531,103.8461151546762,MRT,Dhoby Ghaut,Dhoby Ghaut MRT Station
124,146,WOODLEIGH MRT STATION,NE11,1.339190045525152,103.8708183093750,MRT,Woodleigh,Woodleigh MRT Station
125,147,NOVENA MRT STATION,NS20,1.320440790847899,103.8438256188153,MRT,Novena,Novena MRT Station
126,148,SERANGOON MRT STATION,NE12/CC13,1.349707875379261,103.8735748468583,MRT,Serangoon,Serangoon MRT Station
127,149,BEDOK RESERVOIR MRT STATION,DT30,1.336607829810492,103.9322346236246,MRT,Bedok Reservoir,Bedok Reservoir MRT Station
128,150,MARINA SOUTH PIER MRT STATION,NS28,1.271336711329170,103.8628597696374,MRT,Marina South Pier,Marina South Pier MRT Station
129,151,FARRER PARK MRT STATION,NE8,1.312359840212136,103.8541771415314,MRT,Farrer Park,Farrer Park MRT Station
130,153,BARTLEY MRT STATION,CC12,1.342828337737579,103.8797589062279,MRT,Bartley,Bartley MRT Station
131,154,DAKOTA MRT STATION,CC8,1.308382639266997,103.8886626039317,MRT,Dakota,Dakota MRT Station
132,155,PASIR PANJANG MRT STATION,CC26,1.276213522685335,103.7913503131544,MRT,Pasir Panjang,Pasir Panjang MRT Station
133,157,CLARKE QUAY MRT STATION,NE5,1.288386024201141,103.8465552092951,MRT,Clarke Quay,Clarke Quay MRT Station
134,158,BISHAN MRT STATION,NS17/CC15,1.350838987693842,103.8481439644746,MRT,Bishan,Bishan MRT Station
135,160,MARYMOUNT MRT STATION,CC16,1.348707263018225,103.8394231325696,MRT,Marymount,Marymount MRT Station
136,161,HAW PAR VILLA MRT STATION,CC25,1.282542156642901,103.7818104513204,MRT,Haw Par Villa,Haw Par Villa MRT Station
137,162,LORONG CHUAN MRT STATION,CC14,1.351612171025630,103.8641519380472,MRT,Lorong Chuan,Lorong Chuan MRT Station
138,163,LAVENDER MRT STATION,EW11,1.307357020095563,103.8628292081066,MRT,Lavender,Lavender MRT Station
139,166,TAI SENG MRT STATION,CC11,1.335433322222914,103.8881948611530,MRT,Tai Seng,Tai Seng MRT Station
140,167,ROCHOR MRT STATION,DT13,1.303916483964587,103.8524216807045,MRT,Rochor,Rochor MRT Station
141,169,LITTLE INDIA MRT STATION,NE7/DT12,1.306800025312334,103.8496469665724,MRT,Little India,Little India MRT Station
142,170,STEVENS MRT STATION,DT10/TE11,1.320065557006730,103.8260244022438,MRT,Stevens,Stevens MRT Station
143,171,BUKIT PANJANG MRT STATION,DT1,1.379002116717668,103.7615351147329,MRT,Bukit Panjang,Bukit Panjang MRT Station
144,172,CASHEW MRT STATION,DT2,1.369369831064344,103.7646944223108,MRT,Cashew,Cashew MRT Station
